Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.00455715,0.00048735097495337823,4.4472233452986357e-06,6.1162178214310373e-08,-4.0279126640101514e-08,-8.8291896842690806e-08,-7.4150123496873135e-08,3.0877623295911847e-07
0.00460778,0.00050058082169010553,4.5402283515940007e-06,6.635865848041203e-08,-4.2917897957494141e-08,-8.1809119808649394e-08,-9.9422451279280841e-08,2.1620822565116226e-07
0.00465842,0.00051430175958387973,4.6229853329442081e-06,7.5292561211518507e-08,-4.7233137563571999e-08,-7.522314814459704e-08,-1.1838150257544093e-07,1.3593865380258595e-07
0.00470906,0.00052854993563556047,4.6944425210688941e-06,8.6923078308152792e-08,-5.2737492629856117e-08,-6.881869424384729e-08,-1.2747135030844767e-07,6.7122959824242078e-08
0.00475969,0.00054334630117269724,4.7550911493773587e-06,9.9929977216078824e-08,-5.8773200284407945e-08,-6.2948853914429466e-08,-1.2657263510443136e-07,6.9220850340885048e-09
0.00481032,0.00055876432912721193,4.806526265625823e-06,1.1296274724141536e-07,-6.4479191744860163e-08,-5.7972333816841809e-08,-1.1763546448178258e-07,-4.9619337345483769e-08
0.00486096,0.00057496679373156214,4.8512922607141817e-06,1.2486242850975675e-07,-6.8896677826927367e-08,-5.4362142396111146e-08,-1.0377445102051439e-07,-1.0819145703112535e-07
0.00491159,0.00059219829508059673,4.8926415278318837e-06,1.3474198045313842e-07,-7.1092562937232823e-08,-5.2411585822599828e-08,-8.8194793363621867e-08,-1.733979220841602e-07
0.00496223,0.00061075984001118311,4.9343849162361279e-06,1.4199175506435397e-07,-7.0425455603449426e-08,-5.2249032038654207e-08,-7.3320467773469827e-08,-2.4751996436181633e-07
0.00501287,0.00063091046197849099,4.9802836943483473e-06,1.4623028060050249e-07,-6.6792080628415483e-08,-5.3743355152692827e-08,-6.0509397825518139e-08,-3.312514684827148e-07
