Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.00334191,3.3409061059698425e-07,6.4350939875167658e-08,-3.1687086196340972e-08,-3.5372821855343863e-08,-4.2378930482030571e-08,-4.400989906646995e-08,-5.6040005667656974e-08
0.00339254,3.4708084494928369e-07,6.2877308288027591e-08,-3.8823089292780818e-08,-4.2136373585949954e-08,-4.9157254762556303e-08,-5.2058134634479987e-08,-6.2140066031731072e-08
0.00344318,3.5847526585604887e-07,6.0058362952514394e-08,-4.6919529582803956e-08,-4.9931823847780785e-08,-5.6827553751695906e-08,-6.0580373911249076e-08,-6.9066321932895927e-08
0.00349381,3.6753697524946545e-07,5.5142804234345068e-08,-5.6969398714471278e-08,-5.9760377612153217e-08,-6.6453530575146366e-08,-7.0734615164869468e-08,-7.7867122715937775e-08
0.00354445,3.7436884837298761e-07,4.8397342427627736e-08,-6.8934352152323795e-08,-7.1579376351378313e-08,-7.8047337222497889e-08,-8.271779212462004e-08,-8.8573334068617281e-08
0.00359509,3.7987199067618354e-07,4.1011834626582303e-08,-8.1787151149563885e-08,-8.4350067186881795e-08,-9.0611033136379111e-08,-9.5684922114309645e-08,-1.002300143292291e-07
0.00364572,3.8554186869410617e-07,3.4805020868651947e-08,-9.3774850714208271e-08,-9.6302604672884196e-08,-1.02398417527948e-07,-1.079421939565432e-07,-1.1114570809485714e-07
0.00369636,3.9314817714807163e-07,3.1804346234572324e-08,-1.0283335655189652e-07,-1.0535161948837456e-07,-1.1133094993694889e-07,-1.1736441311510951e-07,-1.1928762544020336e-07
0.00374699,4.0434001076601553e-07,3.376981754276949e-08,-1.070811059500136e-07,-1.0959288260381841e-07,-1.1549625410281433e-07,-1.2194528695878974e-07,-1.2276289132046287e-07
0.00379762,4.2031099180251197e-07,4.1814986620998086e-08,-1.0522967968637026e-07,-1.0771973002927016e-07,-1.1356783656382141e-07,-1.2027704169658928e-07,-1.202232330046702e-07
0.00384826,4.4159897912897632e-07,5.621282239792985e-08,-9.6819996940119712e-08,-9.9265423613832913e-08,-1.050516246948962e-07,-1.1183366212539903e-07,-1.1110091706800219e-07
0.00389889,4.6803675998213311e-07,7.6399328026095358e-08,-8.2251073535731438e-08,-8.4634557931818561e-08,-9.0322380476255586e-08,-9.7010710969060869e-08,-9.5657051366102377e-08
0.00394953,4.9880271660305294e-07,1.0110168463910996e-07,-6.2677537986046805e-08,-6.4997519211029193e-08,-7.0523788341603652e-08,-7.7004410096192897e-08,-7.4907094149697318e-08
0.00400016,5.3262285645489957e-07,1.2861743688586434e-07,-3.9744881965306296e-08,-4.2017748044296354e-08,-4.7301167505085526e-08,-5.3517395680023189e-08,-5.0395647490417253e-08
0.0040508,5.6785181041149972e-07,1.5695354310655815e-07,-1.5457640531557461e-08,-1.7710944077353908e-08,-2.2664805059420465e-08,-2.8601846592774975e-08,-2.4104213794971146e-08
0.00410143,6.0266084929231449e-07,1.8404633214902157e-07,8.0392441297629479e-09,5.7788031948217684e-09,1.2320463685798908e-09,-4.4300016993816555e-09,1.7342946626150499e-09
0.00415207,6.3523810917667163e-07,2.0796852731170615e-07,2.8671655579437881e-08,2.6389604854794224e-08,2.2305171657633494e-08,1.6914097554925373e-08,2.4840709771411097e-08
0.00420271,6.6389394366219051e-07,2.2701992993920896e-07,4.454046696863169e-08,4.2240091666451921e-08,3.8642059760290525e-08,3.3528930111380087e-08,4.302599694773456e-08
0.00425334,6.8724704637003984e-07,2.398949631092381e-07,5.4113312934353279e-08,5.1812960675217835e-08,4.8691637583097597e-08,4.3876060756795425e-08,5.4450496900233784e-08
0.00430397,7.0440520007923993e-07,2.4582408845380009e-07,5.6393056107446135e-08,5.411656046440184e-08,5.1432132972260696e-08,4.6940911645423507e-08,5.7873850199066677e-08
0.00435461,7.1510902274932119e-07,2.4469241716027471e-07,5.107098743459405e-08,4.8835568485357763e-08,4.6526103324870731e-08,4.2384953891966649e-08,5.2876262600760157e-08
0.00440524,7.1983252903381379e-07,2.371272756266522e-07,3.8640571899532169e-08,3.6447264753299534e-08,3.4438333085418942e-08,3.0664476998842237e-08,4.000416044243468e-08
0.00445588,7.197979814195592e-07,2.2451301201228321e-07,2.0425994869794719e-08,1.8255695321727294e-08,1.6469213007914913e-08,1.3066519882419617e-08,2.0779782453282232e-08
0.00450651,7.1688606325110315e-07,2.0890915693588013e-07,-1.4979943691883124e-09,-3.682437773675437e-09,-5.3214509204343637e-09,-8.3639648740269308e-09,-2.4412798029972079e-09
0.00455715,7.1341300346164658e-07,1.9283474898454348e-07,-2.4536345452988783e-08,-2.6784183659788637e-08,-2.834297097443041e-08,-3.1049974741097986e-08,-2.6784098431018348e-08
0.00460778,7.1179020573660807e-07,1.7892267008171302e-07,-4.5933395781367527e-08,-4.829851279447512e-08,-4.9833440195000843e-08,-5.2240476241049989e-08,-4.9294774371012256e-08
0.00465842,7.1414238618796232e-07,1.6951556416266045e-07,-6.3197020662947806e-08,-6.5732201293538537e-08,-6.7286639548983507e-08,-6.9436801216031764e-08,-6.7414863801009311e-08
0.00470906,7.2194236343383478e-07,1.6626665912803715e-07,-7.4516928176918245e-08,-7.7270596752111227e-08,-7.8873477524309878e-08,-8.0814430201954594e-08,-7.9403405443747233e-08
0.00475969,7.3574254110235139e-07,1.6983537983127862e-07,-7.9083590306724676e-08,-8.209840077082941e-08,-8.3763723097310542e-08,-8.554528539054224e-08,-8.4612282294652753e-08
0.00481032,7.5514901523839426e-07,1.7984107432444356e-07,-7.7143858476128953e-08,-8.0455685547319443e-08,-8.2183344860741731e-08,-8.3855594730022336e-08,-8.3467190175807978e-08
0.00486096,7.7886394168145138e-07,1.9491334988908862e-07,-6.9954565695039797e-08,-7.3590615824063842e-08,-7.5368660599321737e-08,-7.6980266474633288e-08,-7.7342839335562165e-08
0.00491159,8.0485603415122691e-07,2.1289911969938895e-07,-5.9576052761477372e-08,-6.3551718092052465e-08,-6.5359871274120461e-08,-6.6956361140102075e-08,-6.8301886426434034e-08
0.00496223,8.306915192335149e-07,2.3124913810655225e-07,-4.8483044972763063e-08,-5.2798098677751949e-08,-5.4612012131600614e-08,-5.6233803005165391e-08,-5.8701803654934522e-08
0.00501287,8.5394063111775737e-07,2.4748076752184786e-07,-3.9097807134802288e-08,-4.3733357031002461e-08,-4.5528839250945629e-08,-4.7208956392856034e-08,-5.0764286086110424e-08
0.0050635,8.7251053580292308e-07,2.595506091569496e-07,-3.3413389155817949e-08,-3.8331331355422076e-08,-4.008776713803766e-08,-4.1849332245081671e-08,-4.6260949506555845e-08
0.00511413,8.8491056868703689e-07,2.6612493126619789e-07,-3.2715047320447596e-08,-3.7860909209258641e-08,-3.9563467188375001e-08,-4.1417115097132762e-08,-4.6300154848262045e-08
0.00516477,8.9042137370997868e-07,2.6671870707119324e-07,-3.744054919179943e-08,-4.274973180881032e-08,-4.4390214924660034e-08,-4.6331833296193218e-08,-5.1235528733934598e-08
