Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.00389889,1.7448744492283641e-15,4.2304086836011834e-15,9.3127841852579211e-15,8.8620744651238962e-15,8.5365982556505691e-15,7.9267197830961808e-15,7.4514010453820171e-15
0.00394953,4.8792134678395443e-15,5.5065335259008595e-15,9.1621253249747806e-15,7.8263527542262751e-15,9.9469536172995498e-15,1.0027694349019366e-14,8.3179462125098494e-15
0.00400016,7.1046225356425649e-16,6.1524289427688137e-16,4.5762288851271202e-16,-2.2061457957459474e-15,-2.218515797192644e-15,-3.2392859542765252e-15,-6.7765120808575413e-16
0.0040508,-3.4095692913614012e-15,-1.9201489573536928e-15,-2.8225544904088675e-15,-7.8224544107516956e-16,4.2260609272875354e-15,3.110921471801557e-15,4.732980720221612e-15
0.00410143,6.5514042671428025e-15,6.5455766665671053e-15,6.2697973756536532e-15,6.2290306486184309e-15,5.5869442336233313e-15,5.2529058288005847e-15,7.6947214823984403e-15
0.00415207,1.4552857415789592e-14,1.295302507424973e-14,8.349282568411034e-15,9.2616984445104007e-15,7.1506882454094012e-15,7.7163628325418275e-15,9.9487872112232568e-15
0.00420271,-6.8259774786247884e-15,-6.7399962169985852e-15,-1.0926965576331681e-14,-1.1157369557692322e-14,-9.6439394103660247e-15,-1.032181720721359e-14,-9.272859548327513e-15
0.00425334,4.0110003018049436e-15,4.0861029434255324e-15,-3.7379216874803801e-15,-3.2547052992867412e-15,-4.6885320972989269e-15,-3.8344683178071912e-15,-2.6257910716099296e-15
0.00430397,2.6687356026986577e-15,9.3628968405294579e-16,3.0393084160742353e-15,9.4030606984111766e-15,8.6731639223989615e-15,6.934938937364396e-15,6.35886276951515e-15
0.00435461,-3.4352648780596293e-16,-3.398593772540723e-16,4.725325856657376e-16,6.0756167717657181e-16,-1.5642404741412415e-15,-2.6243047441420424e-15,-2.393681157134139e-15
0.00440524,3.8308867406140474e-16,-1.943934398775566e-15,-3.444261343048423e-15,-1.8173230751439107e-15,-3.848590219140389e-15,-4.3735846238053265e-15,-4.5634032295932635e-15
0.00445588,2.8895364913944346e-15,5.7361014073622014e-15,3.4146329993608455e-16,-3.5240787909894884e-15,-6.1221910314047861e-15,-6.4629597583379731e-15,-9.2359864683908928e-15
0.00450651,4.0459273910045366e-15,1.153243668328634e-15,-3.5734095966709169e-15,-4.2978762863138551e-15,-3.0058640120461943e-15,-3.0124409586788421e-15,-3.1067594315130574e-15
0.00455715,5.0323293674032202e-15,5.5578506447850426e-15,2.2494319058171822e-15,8.5720368011262008e-16,-5.38288723661586e-16,5.4753319013410227e-16,1.6398515454170744e-15
0.00460778,2.4351401818617077e-15,1.2120454689570514e-15,-5.1335168113444955e-15,-6.3466724216637422e-15,-5.9728625235868252e-15,-5.0129877040451713e-15,-7.0381934675706676e-15
0.00465842,-6.9101444090405399e-15,-6.6746254637162482e-15,-8.1385802958089198e-15,-7.5475848598567833e-15,-9.8685310868636177e-15,-8.8705633884370982e-15,-7.9049237030548497e-15
0.00470906,-1.2424732768638062e-15,-1.4463892854414475e-15,-3.5578964126635837e-15,-2.686435330289917e-15,-4.4434914972670226e-15,-4.9372556243100079e-15,-4.4941340166493626e-15
0.00475969,-5.6454025626353911e-15,-5.415582456787266e-15,-8.6815264121748315e-15,-6.7617392139887673e-15,-6.6072483455328358e-15,-5.2145650548787978e-15,-4.5451205835349353e-15
0.00481032,3.6081374872946216e-16,-1.4176366178001534e-15,-2.2599957285631265e-16,3.6601458575804785e-15,5.1493814050485447e-15,6.6756261764433234e-15,6.4930334638103543e-15
0.00486096,-3.1116501301626221e-15,-1.9215398239449093e-15,-4.9869153688377296e-15,-4.394511773306969e-15,-1.696672124634859e-15,-2.9404357906184694e-15,-1.1809228566324216e-15
0.00491159,8.9237788447034864e-15,7.4634722086347091e-15,5.5087638366785943e-15,3.9935252368136142e-15,2.2519830463254861e-15,1.1401584760588488e-15,-4.5056295740001881e-16
0.00496223,4.983244566460737e-15,5.2012447843336271e-15,2.4933623847284109e-15,-1.4996664370870546e-16,6.4050130142074423e-16,-2.7476884348429021e-15,-3.2043684907383201e-15
0.00501287,-8.7477044274666605e-15,-7.8191876298553115e-15,-9.2752077663054196e-15,-1.5259735956379551e-14,-1.4717814436719407e-14,-1.6351348760227518e-14,-1.6673015889438263e-14
0.0050635,-5.8598939498591157e-15,-6.1097403896534239e-15,-6.7299986509454501e-15,-3.9918107079080722e-15,-5.899311948583887e-15,-8.0442338185165891e-15,-8.1591095040930232e-15
0.00511413,2.4972874214854224e-15,1.4860278274220653e-15,-9.4988704993184979e-16,-1.5440054433719359e-15,-7.626337259549213e-16,-7.66852610580543e-17,2.7983726690515108e-16
0.00516477,-1.9491557515183193e-15,7.5014104239014935e-16,-1.1290999332427796e-15,-1.1315868265319557e-15,-1.2307628055046556e-15,-3.0851391224855158e-15,-3.46728624217071e-15
0.00521541,1.6846105280410197e-16,1.1397321354465981e-15,3.6597872268486363e-15,3.0945918735509029e-15,3.3191981405300833e-15,1.4503708840626524e-15,1.2050609459916377e-15
0.00526604,6.7335643799686117e-15,6.170334247233895e-15,7.9695733305289242e-15,8.4076651201351726e-15,8.9952394678397516e-15,8.7451068004627517e-15,9.6592632956837208e-15
0.00531667,1.0900215803314778e-15,-2.3421267545038478e-15,-2.8092971502916591e-15,-4.9371215322020103e-15,-5.5600557686383455e-15,-5.0148149008819952e-15,-3.5055582225896489e-15
0.00536731,-9.7691609768669776e-16,-1.8649327554384375e-15,-8.4228507047812685e-15,-1.1115902912370328e-14,-8.7407817987783373e-15,-7.2499828321829097e-15,-1.0478761751793741e-14
0.00541794,6.3717372834315909e-15,5.3842994994312388e-15,2.9008053407310965e-15,8.4783771106621376e-15,8.0337232918293528e-15,8.488690397832197e-15,9.1692663764747035e-15
0.00546858,-6.5511756960455816e-16,-1.3230438836189169e-15,1.7274438599970459e-15,2.4730627396094613e-15,4.0710158944841145e-15,6.9296868375794436e-16,2.9076329037856565e-15
0.00551922,-5.7333530673353432e-15,-7.8916872996650914e-15,-9.1090582006787273e-15,-7.1708264216653142e-15,-6.6914584233410077e-15,-7.3433215074598522e-15,-7.5741661931207942e-15
0.00556985,-6.8381691230742562e-15,-7.9574109485849751e-15,-1.2794755349053694e-14,-8.2646179264605651e-15,-8.0419553239312168e-15,-8.5286575385185457e-15,-8.6969640769917997e-15
0.00562048,-8.3305055464118675e-15,-9.2666518367397086e-15,-1.362454070562076e-14,-1.71990980077069e-14,-1.6998502127738595e-14,-1.4376683398578667e-14,-1.5182143287621435e-14
0.00567112,5.4412745555055969e-15,5.8538980567457968e-15,7.8734952669157644e-15,2.4757562568803814e-15,2.0858471290204749e-15,1.681457083711324e-15,1.2792994821070682e-15
0.00572176,-9.2880778215358929e-15,-1.2622130524400019e-14,-8.882480279679477e-15,-8.2655321555416536e-15,-1.048056995977774e-14,-9.4010494304540716e-15,-1.1084591457768535e-14
0.00577239,-5.3246482800983131e-15,-6.1149345746963037e-15,-6.0349750960363993e-15,-5.8455874960350242e-15,-7.3955865039073935e-15,-7.4771491606410542e-15,-6.6315374352759887e-15
0.00582302,2.0015619516522384e-16,-4.1723942441348725e-16,-9.8105260146103347e-17,2.4364284219435931e-15,2.0008098456963818e-15,5.399479866338977e-15,4.3578829769799793e-15
0.00587366,-4.4974024314868612e-15,-2.9663396796814446e-15,-2.3840804175486761e-15,-3.2416261653593392e-15,-1.5797442490801477e-15,-2.472187754220454e-15,-2.9950975993810587e-15
0.00592429,-5.5159706132959524e-16,-3.1137080864999739e-15,-6.610833339091003e-15,-9.7194992166992786e-15,-9.0168136647206178e-15,-9.9281436354595468e-15,-1.0158849924276888e-14
0.00597493,5.6168506476667905e-15,6.4720572929499519e-15,9.8733399925050132e-15,8.1041612809968079e-15,8.7541231713417622e-15,9.0670794229648626e-15,8.7168699778379657e-15
0.00602557,6.9854979095483811e-15,6.5120684609447039e-15,6.6586876527552866e-15,5.2830101437361926e-15,1.9718540077069588e-15,1.1500427021429615e-15,1.2264074229851733e-15
0.0060762,2.8083290325085365e-15,2.9643966630310277e-15,2.0210443869844709e-15,1.4902103824262318e-15,1.607918935229245e-15,1.0533050800110518e-15,8.2500346166266868e-16
0.00612683,1.1615194656632974e-15,-1.153772527497136e-15,-4.8839278742247825e-15,-3.9025226314333363e-15,-3.1981497376355537e-15,-5.3966869805509778e-15,-5.3570577301734034e-15
0.00617747,6.2120496539396381e-15,8.5277852905630595e-15,1.1248536171192972e-14,1.2286971226811517e-14,1.2415972404199484e-14,1.2097320326052677e-14,1.2065920799995338e-14
0.00622811,-1.066403689573759e-14,-1.2253840855825193e-14,-1.657330381030963e-14,-1.711420034050465e-14,-1.8515784097480922e-14,-1.803230463784217e-14,-1.7996737129043182e-14
0.00627874,4.2736673603012056e-15,4.4092850846881518e-15,-8.4420217665677533e-16,-1.1047950898667766e-16,2.7184923768581896e-16,-6.588150279361774e-16,-5.7323793229006893e-16
0.00632937,8.6895766705211756e-16,4.5949809420190905e-17,-2.4210178577479508e-15,-2.3202578437800613e-15,-4.0735471050858965e-15,-4.7367095720497987e-15,-4.9305147347131186e-15
0.00638001,-2.2811710430096118e-15,-2.9775527447684073e-15,-1.697327028919364e-15,-8.5965908604297392e-16,1.0733585263550209e-15,7.10579395147255e-16,9.091241274880611e-16
0.00643064,-4.6834245457464729e-15,-6.5912535318746965e-15,-7.2844679668830325e-15,-7.8113595515475669e-15,-8.8738531408532539e-15,-8.9777897437697079e-15,-8.7735157352131335e-15
0.00648128,-7.34891517149349e-15,-7.2534413856036667e-15,-1.3001169472392021e-14,-1.6430041382185398e-14,-1.6269307890102388e-14,-1.6125298369159013e-14,-1.6026891077620228e-14
0.00653192,1.7422754564221466e-15,-9.4153906305662369e-16,-9.8963502342207797e-18,3.8424918088830593e-15,9.4624034903287103e-16,1.6194306882120776e-15,1.554295613603815e-15
0.00658255,2.725359633833258e-15,8.7611820177247229e-16,-2.7404218509662471e-15,-4.8531246360607199e-15,-5.1967991375734478e-15,-5.2493107814393918e-15,-5.2545005526638393e-15
0.00663318,-4.8046415096674766e-15,-5.9738611832636874e-15,-8.7495484626106908e-15,-1.1000816523896697e-14,-1.0603464963932148e-14,-9.5309635286233398e-15,-9.4839699070548629e-15
0.00668382,1.3521885917140305e-14,1.4310630865509923e-14,1.2998356667492128e-14,1.131685810875813e-14,1.3882153139289798e-14,1.3075013358416353e-14,1.316252681599035e-14
0.00673445,3.473062446291686e-15,-3.6777714464783706e-16,-6.0911060422373576e-16,4.7768780842103739e-16,-8.6988336303191237e-16,-1.7520569936456679e-15,-1.7525703000394923e-15
0.00678509,8.4559578918287652e-16,-2.0244967757501001e-15,-6.6876145726236746e-15,-5.8877135698772948e-15,-6.5282888781469023e-15,-7.1547990691524593e-15,-7.0326465314541667e-15
0.00683572,1.2576859402170313e-14,1.2132207626716104e-14,1.1184700677017275e-14,1.1917520030028094e-14,1.1922626790908855e-14,1.1669767922186394e-14,1.1716672555833657e-14
0.00688636,-6.4982133722203257e-16,-2.9314897337928333e-15,-1.948672856330696e-15,-2.0470397865339281e-15,-2.143158577324083e-15,-3.1456661208601447e-15,-3.1154145185186461e-15
0.00693699,3.699280385750753e-15,2.2630086290169286e-15,7.6954575410687814e-16,8.9083126624713357e-16,1.0675330746898199e-15,1.3883449119404021e-15,1.8454831802534373e-15
0.00698763,-6.3078157767170473e-15,-7.9751197432299619e-15,-6.6980739971533501e-15,-8.0948912112793287e-15,-8.1002654487696904e-15,-8.6593854624191521e-15,-8.2105841169978788e-15
0.00703827,-1.4672445351800101e-14,-1.4073187528330848e-14,-2.0077625265263822e-14,-2.1868264393229733e-14,-2.1168272137344361e-14,-2.1827056606599377e-14,-2.1949639993083828e-14
0.0070889,7.1332743688568925e-15,6.0658837023248662e-15,2.137130746884042e-15,2.6222071562753847e-16,1.8375524656701425e-15,2.0636934745090074e-15,1.7312830188117805e-15
