Physical Time (s),ea_left Monitor (kg-m/s^3)
0.03149497,-0.0027056050772065261
0.0315456,-0.0027056560803650608
0.03159624,-0.0027051925906170031
0.03164687,-0.0027042640048545808
0.03169751,-0.0027029139676304475
0.03174814,-0.0027011758836012097
0.03179878,-0.0026990697124851977
0.03184941,-0.0026966003932615669
0.03190005,-0.0026937571992871044
0.03195068,-0.0026905144532711625
0.03200132,-0.0026868332240949813
0.03205196,-0.0026826632177120164
0.03210259,-0.002677945711155785
0.03215323,-0.002672616554070046
0.03220386,-0.0026666098508636034
0.0322545,-0.0026598609518491008
0.03230513,-0.0026523200345764993
0.03235577,-0.0026439324684029769
0.0324064,-0.0026346712563804723
0.03245704,-0.0026245109485262554
0.03250767,-0.0026134585242809636
0.03255831,-0.0026015319413972642
0.03260894,-0.0025887532989390342
0.03265957,-0.0025751768463840182
0.03271021,-0.0025608662765245322
0.03276084,-0.0025458961154920271
0.03281148,-0.0025303524975682917
0.03286211,-0.0025143329289081173
0.03291275,-0.0024979498800631944
0.03296338,-0.0024813342777641979
0.03301402,-0.0024646394159992557
0.03306465,-0.0024480449878857479
0.03311529,-0.002431760773576219
0.03316592,-0.0024160294073376255
0.03321656,-0.0024011271212790652
0.03326719,-0.0023873606842778157
0.03331783,-0.0023750597137741818
0.03336846,-0.0023645632137603099
0.0334191,-0.0023562017258192793
0.03346974,-0.0023502775093944689
0.03352037,-0.0023470441223635962
0.03357101,-0.0023466877097738795
0.03362164,-0.0023493146962705715
0.03367228,-0.0023549440457401724
0.03372291,-0.002363504275332412
0.03377355,-0.0023748344660041833
0.03382418,-0.0023886883564812802
0.03387482,-0.0024047418336312671
0.03392545,-0.002422599508225516
0.03397608,-0.0024418004360400609
0.03402672,-0.0024618244635419371
0.03407735,-0.0024821004123463729
0.03412799,-0.0025020168890965049
0.03417862,-0.0025209358399528843
0.03422926,-0.0025382150022897282
0.03427989,-0.0025532350840406096
0.03433053,-0.0025654324781755142
0.03438116,-0.0025743386663598555
0.0344318,-0.0025796146883086692
0.03448243,-0.0025810853416472438
0.03453307,-0.0025787673437249747
0.0345837,-0.0025728948167302117
0.03463434,-0.002563894988431536
0.03468497,-0.0025523942303913839
0.03473561,-0.0025391588655185181
0.03478625,-0.002525053432833576
0.03483688,-0.0025109642210926577
0.03488752,-0.0024977292910529176
0.03493815,-0.0024860653437507704
0.03498879,-0.002476517594724891
0.03503942,-0.0024694269942937036
0.03509006,-0.0024649021906775585
0.03514069,-0.0024628204753585851
0.03519133,-0.0024628694646420201
0.03524196,-0.0024645914409330482
0.03529259,-0.0024674252955081215
0.03534323,-0.0024707673269638705
0.03539386,-0.0024740341668274043
0.0354445,-0.0024767088478587045
0.03549513,-0.0024783763825749917
0.03554577,-0.0024787438684847119
0.0355964,-0.0024776424987757025
0.03564704,-0.0024750136996565912
0.03569767,-0.0024709022193979699
0.03574831,-0.0024654177691299378
0.03579894,-0.002458714732697956
0.03584958,-0.0024509743151136967
0.03590021,-0.002442386367659294
0.03595085,-0.0024331374708499937
0.03600148,-0.0024234058035247294
0.03605212,-0.0024133614077050561
0.03610276,-0.0024031693420477835
0.03615339,-0.002392987627192155
0.03620403,-0.0023829765236045288
0.03625466,-0.0023732866238182506
0.0363053,-0.0023640480453402668
0.03635593,-0.002355370472266389
0.03640657,-0.0023473258855222852
0.0364572,-0.0023399501639387627
0.03650784,-0.0023332345105047834
0.03655847,-0.0023271349757711789
0.0366091,-0.0023215752805553248
0.03665974,-0.002316467200146419
0.03671037,-0.0023117254359888628
0.03676101,-0.0023072876824159847
0.03681164,-0.0023031330218077472
0.03686228,-0.0022992961703936251
0.03691291,-0.0022958759749490912
0.03696355,-0.0022930315755610381
0.03701418,-0.0022909798506573435
0.03706482,-0.0022899711492681421
0.03711545,-0.0022902825444865885
0.03716609,-0.0022921824072085744
0.03721672,-0.0022959261007277458
0.03726736,-0.0023017296011327128
0.03731799,-0.0023097560022128159
0.03736863,-0.0023201032486814344
