Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00592429,6.4012411018568934e-07,1.0129597906740573e-07,-9.6481098443666337e-07,-1.6063162846325062e-06,-1.7562344501324356e-06,-1.8185620144516336e-06,-1.8282629933059085e-06
0.00597493,6.5335685644689347e-07,9.2822148209998701e-08,-9.640486161502329e-07,-1.6011353990548098e-06,-1.7484398765545617e-06,-1.8092252900898573e-06,-1.8157071519915273e-06
0.00602557,6.7029135602607035e-07,8.6198159302575213e-08,-9.6126148834859013e-07,-1.5943440732361541e-06,-1.7392621993989576e-06,-1.7984015711806978e-06,-1.8020491201778716e-06
0.0060762,6.8905697255819384e-07,8.0787065476250857e-08,-9.5674394762772886e-07,-1.5858768569033082e-06,-1.7284483851366956e-06,-1.7857212424520652e-06,-1.7869726952267877e-06
0.00612683,7.048089006442612e-07,7.3542122261364645e-08,-9.5131320192425665e-07,-1.5751578174015723e-06,-1.7146846794739245e-06,-1.7694679918335408e-06,-1.7688861929438177e-06
0.00617747,7.1928090819690173e-07,6.6459955218427691e-08,-9.4472437257418186e-07,-1.5631713615380155e-06,-1.6995969898712458e-06,-1.7518919699579264e-06,-1.7501922527371872e-06
0.00622811,7.3312174811037361e-07,6.081069690501538e-08,-9.3648139170441875e-07,-1.5500202600624778e-06,-1.6835294752663101e-06,-1.7336094178190535e-06,-1.7314342037243488e-06
0.00627874,7.3941250585006608e-07,5.1853914522463357e-08,-9.2848918996324507e-07,-1.535897596857044e-06,-1.6657316297573348e-06,-1.7133523252181806e-06,-1.7113899600521838e-06
0.00632937,7.4272756636227307e-07,4.3090083672530165e-08,-9.2073330414921082e-07,-1.5231015753249161e-06,-1.6495606360040314e-06,-1.6951483110135073e-06,-1.6937491883602811e-06
0.00638001,7.4496625067066421e-07,3.5989535543164325e-08,-9.1331091563165396e-07,-1.5127389929151686e-06,-1.6365066601637149e-06,-1.6806744958463392e-06,-1.6799307210509361e-06
