Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00465842,5.01888420276958e-07,1.6141091200363164e-07,-9.3609152977585328e-07,-1.4992421607141985e-06,-1.6451830730956201e-06,-1.6701803955940732e-06,-1.6650352700670471e-06
0.00470906,4.9263067365498892e-07,1.4667258193858728e-07,-9.3331498804622955e-07,-1.4971457116480403e-06,-1.6449141884293177e-06,-1.6678003681700203e-06,-1.6637213133946796e-06
0.00475969,4.8434446129971328e-07,1.3462150990414456e-07,-9.3001182577089231e-07,-1.4921056357602035e-06,-1.6412886308442338e-06,-1.6617550961928724e-06,-1.6585224717378895e-06
0.00481032,4.7750439838529332e-07,1.2438320282907487e-07,-9.2774579640318655e-07,-1.4863532562519251e-06,-1.6367143273925726e-06,-1.6547500265240445e-06,-1.6517502972916165e-06
0.00486096,4.7280942503674497e-07,1.1577551591171829e-07,-9.2779772791165738e-07,-1.4819355376556418e-06,-1.6334234399806324e-06,-1.6493843384679942e-06,-1.6458939676549776e-06
0.00491159,4.709770088829257e-07,1.0899829767111601e-07,-9.303887215372141e-07,-1.4798596108888485e-06,-1.6325131365325258e-06,-1.6469598985859275e-06,-1.6424275140643885e-06
0.00496223,4.7254628368050754e-07,1.0433250472855719e-07,-9.3558062736809121e-07,-1.4810004448621408e-06,-1.6349965243006794e-06,-1.6487158062270541e-06,-1.6427524317921148e-06
0.00501287,4.7718603416063865e-07,1.0158125597611551e-07,-9.4382070172932204e-07,-1.4863615800224346e-06,-1.6419804907400775e-06,-1.6559109935955722e-06,-1.6484532979328163e-06
0.0050635,4.8337841367890394e-07,1.0015075217807193e-07,-9.5453381179881164e-07,-1.4952770280159615e-06,-1.6524854564290027e-06,-1.6671254695067934e-06,-1.6579419384387615e-06
0.00511413,4.8380687814630662e-07,9.531339880062371e-08,-9.6791399848436143e-07,-1.505698945747469e-06,-1.6627352858389001e-06,-1.6764013897095614e-06,-1.6627719949684787e-06
0.00516477,4.9371248180763077e-07,9.926515342448427e-08,-9.7904383226621148e-07,-1.5185703123601718e-06,-1.6770693267352175e-06,-1.6923249122615155e-06,-1.6769874019143648e-06
0.00521541,5.0748916678134331e-07,1.0800643257462752e-07,-9.8876437303755744e-07,-1.5334447776205991e-06,-1.6940720403739983e-06,-1.7122769008932002e-06,-1.6972584478217884e-06
0.00526604,5.2285811820812617e-07,1.2041747508884604e-07,-9.9569016226310765e-07,-1.5479613582400316e-06,-1.7106560711062668e-06,-1.7322409362026323e-06,-1.7188016152515593e-06
0.00531667,5.3433798325685665e-07,1.3214046898168431e-07,-9.9972357300648997e-07,-1.5598001450220329e-06,-1.7230633172998148e-06,-1.7466864738619811e-06,-1.7336347308839613e-06
0.00536731,5.4976974275625393e-07,1.4817522157405786e-07,-9.9910498976412588e-07,-1.5701970601170965e-06,-1.7344007205316054e-06,-1.7612160046681724e-06,-1.7512470101879203e-06
0.00541794,5.6436004524429135e-07,1.6375159032852625e-07,-9.9486117647426749e-07,-1.5781282007061038e-06,-1.7424240562576857e-06,-1.7722600547180477e-06,-1.7659177665578908e-06
0.00546858,5.7701688768980161e-07,1.766347741051374e-07,-9.8809427314162326e-07,-1.5841221594873627e-06,-1.7476622078756627e-06,-1.7800428090374698e-06,-1.7774618842234898e-06
0.00551922,5.8758977566878901e-07,1.8540581887078644e-07,-9.8000580165595895e-07,-1.5890172816500451e-06,-1.7509976032913176e-06,-1.7856106119278631e-06,-1.7868084197500457e-06
0.00556985,5.9636857738431871e-07,1.8904850248392092e-07,-9.71446622164817e-07,-1.5933394041168142e-06,-1.7529316366469191e-06,-1.7897750975155313e-06,-1.7945962450984578e-06
0.00562048,6.0435644934718343e-07,1.8781645948361702e-07,-9.6285365477360212e-07,-1.5975252755073777e-06,-1.7544252570068941e-06,-1.7935965908563916e-06,-1.8019665264921645e-06
0.00567112,6.1221643421425407e-07,1.8155963432849694e-07,-9.551559614596869e-07,-1.6013643463429387e-06,-1.7555661976789819e-06,-1.7971524911469548e-06,-1.8085766712608935e-06
0.00572176,6.2029903719698589e-07,1.7122741997251774e-07,-9.4870703017431822e-07,-1.6051442285632327e-06,-1.7566591274517253e-06,-1.8006948741086239e-06,-1.8143202542803411e-06
0.00577239,6.2911460594800221e-07,1.5799492754718099e-07,-9.4315689660942247e-07,-1.6081476158055833e-06,-1.7571301833468064e-06,-1.8034911271988781e-06,-1.818163861110953e-06
0.00582302,6.3887893024270082e-07,1.4301333530281823e-07,-9.381002011856826e-07,-1.6096597566694565e-06,-1.7563479171854995e-06,-1.8047103184443325e-06,-1.8191559434049536e-06
0.00587366,6.4965349327362485e-07,1.2745817427866479e-07,-9.3303706563477463e-07,-1.6089802605140191e-06,-1.7536459816194179e-06,-1.8034904937155481e-06,-1.8165047839904301e-06
0.00592429,6.6141449594216956e-07,1.1273462962000423e-07,-9.2767091988564335e-07,-1.6057969718131941e-06,-1.748752305254556e-06,-1.7994689830083303e-06,-1.8101343166310868e-06
0.00597493,6.6987544500894468e-07,9.6565548304877248e-08,-9.2263840012088645e-07,-1.5992745550892059e-06,-1.7399679840195751e-06,-1.7902246456377376e-06,-1.7977179142193921e-06
0.00602557,6.808620515794041e-07,8.4088105984478775e-08,-9.1669856856665354e-07,-1.590731052809999e-06,-1.7299468665055085e-06,-1.7795920393197817e-06,-1.7841265505984732e-06
0.0060762,6.9284903516339113e-07,7.4944256192399128e-08,-9.102623988370754e-07,-1.5804102112972523e-06,-1.7186219814090834e-06,-1.7673645383286781e-06,-1.7692739572163792e-06
0.00612683,7.0134149976294337e-07,6.6080212652382336e-08,-9.0432905135845862e-07,-1.5681206785708868e-06,-1.7049150010854094e-06,-1.752042390158713e-06,-1.7518604607515501e-06
0.00617747,7.0825906629190758e-07,5.9062003850933124e-08,-8.9896489739208597e-07,-1.5553354971819758e-06,-1.6907762863660098e-06,-1.736161472622623e-06,-1.7346386141555614e-06
0.00622811,7.1455836135737479e-07,5.4402586052163592e-08,-8.9380922470971189e-07,-1.5424512872556858e-06,-1.6766919227975646e-06,-1.7204617184742679e-06,-1.7183121722547632e-06
0.00627874,7.1364344553869716e-07,4.6532190339497248e-08,-8.9079246824775333e-07,-1.5298260024331697e-06,-1.6619375343363408e-06,-1.7036876967165053e-06,-1.7016894959670936e-06
0.00632937,7.1037920408222367e-07,3.8201274415686369e-08,-8.8970317779162886e-07,-1.5197043090616855e-06,-1.649717266230314e-06,-1.6897211809691063e-06,-1.6883032961524436e-06
0.00638001,7.0713185004635938e-07,3.0251849939017741e-08,-8.9033310389980721e-07,-1.5130551979102055e-06,-1.6413153241096276e-06,-1.6800372341886505e-06,-1.6793433130800985e-06
0.00643064,6.8890396120624432e-07,1.0562094946927337e-08,-8.960872255594692e-07,-1.508536072826041e-06,-1.6328859685306539e-06,-1.669118280256956e-06,-1.6694120280465678e-06
0.00648128,6.9188608745824507e-07,5.7014635302496308e-09,-8.9937338426546672e-07,-1.5110103555593653e-06,-1.6348880451381991e-06,-1.6712448969551597e-06,-1.672039932591231e-06
0.00653192,6.825646243396431e-07,-1.03583933117673e-08,-9.0757351031248681e-07,-1.5162817628759984e-06,-1.6378547122113547e-06,-1.6732499286655153e-06,-1.674530402351607e-06
