Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.00486096,8.4410244104920992e-07,6.3285571724996164e-07,-5.8608356652096347e-09,-2.3603221710021175e-07,-2.8862634001157706e-07,-3.0861561604077098e-07,-3.1080223243550453e-07
0.00491159,8.9351629002674667e-07,6.8053243581001804e-07,3.5590868530984297e-08,-1.9369521248781532e-07,-2.4682924576368936e-07,-2.6827961445151271e-07,-2.730288061203571e-07
0.00496223,9.4422947884148286e-07,7.2967945519563008e-07,7.5675539031629286e-08,-1.5351702986822554e-07,-2.0721308062962406e-07,-2.3021665743751666e-07,-2.3740079220864842e-07
0.00501287,9.9389553341991968e-07,7.7813317555058981e-07,1.126501519333481e-07,-1.1754763934890277e-07,-1.7188190387831863e-07,-1.964888155232505e-07,-2.0617833371982226e-07
0.0050635,1.0403710780853019e-06,8.2394034641861479e-07,1.4527211628197857e-07,-8.7240381747846168e-08,-1.4234374780874545e-07,-1.6854919212431023e-07,-1.8098256444144319e-07
0.00511413,1.0820018093750138e-06,8.6562114646141905e-07,1.7300781480314986e-07,-6.3227240399928311e-08,-1.1927770284437757e-07,-1.4701078350001602e-07,-1.6247337656499407e-07
0.00516477,1.1178411453914664e-06,9.0235327561673416e-07,1.960862231486859e-07,-4.5256206563129392e-08,-1.0246369303175069e-07,-1.3157832948808134e-07,-1.5023238916957549e-07
0.00521541,1.1476959207572295e-06,9.3397721624377938e-07,2.153696013116684e-07,-3.2315899696298419e-08,-9.089979815492927e-08,-1.2116955669211612e-07,-1.4288781366120386e-07
0.00526604,1.1719583826431371e-06,9.6079815422616103e-07,2.3200687713756204e-07,-2.298508472619134e-08,-8.3145582914595221e-08,-1.1426226134657498e-07,-1.3852182908210027e-07
0.00531667,1.1914777935953402e-06,9.8345256915387114e-07,2.4716808994174681e-07,-1.5711420948004505e-08,-7.7595488408745964e-08,-1.0917380503083698e-07,-1.3505256342855734e-07
0.00536731,1.207366279425005e-06,1.0027397384386357e-06,2.6179740154407268e-07,-9.0833496474752652e-09,-7.2747541415772409e-08,-1.0433836435084405e-07,-1.3061464521331587e-07
0.00541794,1.2207615753110357e-06,1.0194356475943467e-06,2.7641667083232388e-07,-2.0630460076216469e-09,-6.7436372488444191e-08,-9.8546406055843696e-08,-1.2387670967165572e-07
0.00546858,1.2326670477968277e-06,1.0341952038638644e-06,2.9109665835487648e-07,5.938290248007756e-09,-6.0914186651376726e-08,-9.1033164094795247e-08,-1.1416170231838485e-07
0.00551922,1.2437809255698171e-06,1.0474424495264194e-06,3.054897970591901e-07,1.5042984015088336e-08,-5.2882057027626064e-08,-8.1513828458122385e-08,-1.01467084554684e-07
0.00556985,1.2544198439730034e-06,1.0593382979780038e-06,3.1896583528633227e-07,2.4998976354517345e-08,-4.3413891603018395e-08,-7.0111427626412865e-08,-8.6326188890429246e-08
